timestamp,T_amb_C,T_des_C,T_tank_C,peak_state,ahu_state,tes_state,case_id,valve_cmd,blower_cmd,pump_cmd,heater_cmd
2026-04-01 14:57:12,23.5,25.0,23.25,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 14:57:15,23.5,25.0,23.25,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 14:57:19,23.5,25.0,23.25,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 14:57:23,23.5,25.0,23.25,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 14:57:27,23.437,25.0,23.187,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 14:57:30,23.437,25.0,23.187,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 14:57:34,23.437,25.0,24.875,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 14:57:38,23.375,25.0,33.75,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 14:57:42,23.375,25.0,39.5,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 14:57:45,23.312,25.0,42.625,1,VENT,DISCHARGE,1,True,True,True,False
2026-04-01 14:57:49,23.375,25.0,43.5,1,VENT,DISCHARGE,1,True,True,True,False
2026-04-01 14:57:53,23.312,25.0,45.125,1,VENT,DISCHARGE,1,True,True,True,False
2026-04-01 14:57:57,23.312,25.0,46.812,1,VENT,DISCHARGE,1,True,True,True,False
2026-04-01 14:58:00,23.312,25.0,47.75,1,VENT,DISCHARGE,1,True,True,True,False
2026-04-01 14:58:04,23.25,25.0,48.375,1,VENT,DISCHARGE,1,True,True,True,False
2026-04-01 14:58:08,23.25,25.0,48.812,1,VENT,DISCHARGE,1,True,True,True,False
2026-04-01 14:58:12,23.25,25.0,49.187,1,VENT,DISCHARGE,1,True,True,True,False
2026-04-01 14:58:16,23.25,25.0,49.5,1,VENT,DISCHARGE,1,True,True,True,False
2026-04-01 14:58:19,23.25,25.0,49.5,1,VENT,DISCHARGE,1,True,True,True,False
2026-04-01 14:58:23,23.187,25.0,48.687,1,VENT,DISCHARGE,1,True,True,True,False
2026-04-01 14:58:27,23.187,25.0,47.625,1,VENT,DISCHARGE,1,True,True,True,False
2026-04-01 14:58:31,23.187,25.0,46.625,1,VENT,DISCHARGE,1,True,True,True,False
2026-04-01 14:58:34,23.187,25.0,45.562,1,VENT,DISCHARGE,1,True,True,True,False
2026-04-01 14:58:38,23.125,25.0,44.625,1,VENT,DISCHARGE,1,True,True,True,False
2026-04-01 15:02:54,22.625,25.0,24.937,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 15:02:58,22.625,25.0,25.0,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 15:03:02,22.625,25.0,25.0,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 15:03:05,22.625,25.0,25.062,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 15:03:09,22.625,25.0,25.125,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 15:03:13,22.625,25.0,25.062,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 15:03:17,22.625,25.0,25.062,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 15:03:20,22.687,25.0,25.687,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 15:03:24,29.125,25.0,25.875,1,IDLE,IDLE,5,False,False,False,False
2026-04-01 15:03:28,36.312,25.0,25.812,1,IDLE,IDLE,5,False,False,False,False
2026-04-01 15:03:32,39.75,25.0,25.687,1,IDLE,IDLE,5,False,False,False,False
2026-04-01 15:03:35,36.625,25.0,25.625,1,IDLE,IDLE,5,False,False,False,False
2026-04-01 15:03:39,24.062,25.0,25.5,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 15:03:43,17.937,25.0,25.437,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 15:03:47,14.937,25.0,25.312,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 15:03:50,15.812,25.0,25.187,1,NORMAL,IDLE,2,False,False,False,False
2026-04-01 15:03:54,25.687,25.0,25.125,1,IDLE,IDLE,5,False,False,False,False
2026-04-01 15:03:58,27.25,25.0,25.062,1,IDLE,IDLE,5,False,False,False,False
2026-04-01 15:04:02,19.75,25.0,25.0,1,NORMAL,IDLE,2,False,False,False,False
